#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.03	0	-0.03	0
0.099	-0.03	0	-0.03	0
0.199	-0.03	0	-0.03	0
0.299	-0.03	0	-0.03	0
0.399	-0.03	0	-0.03	0
0.499	-0.03	0	-0.03	0
0.599	-0.03	0.5	-0.03	0.5
0.699	-0.03	0.5	-0.03	0.5
0.799	-0.03	1	-0.03	1
0.899	-0.03	1	-0.03	1
0.999	-0.015	1	-0.015	1
1.1	-0.03	1.5	-0.03	1.5
1.2	-0.03	1.5	-0.03	1.5
1.299	-0.03	2	-0.03	2
1.399	-0.015	2	-0.015	2
1.499	-0.03	2.5	-0.03	2.5
1.6	-0.03	2.5	-0.03	2.5
1.7	-0.045	2.5	-0.045	2.5
1.8	-0.03	3	-0.03	3
1.9	-0.03	3	-0.03	3
2	-0.03	3.5	-0.03	3.5
2.1	-0.045	3.5	-0.045	3.5
2.2	-0.03	4	-0.03	4
2.3	-0.03	4	-0.03	4
2.4	-0.015	4.5	-0.015	4.5
2.5	-0.03	4.5	-0.03	4.5
2.6	-0.015	4.5	-0.015	4.5
2.7	-0.03	5	-0.03	5
2.8	-0.015	5	-0.015	5
2.9	-0.015	5.5	-0.015	5.5
3	-0.015	5.5	-0.015	5.5
3.1	0	5.5	0	5.5
3.2	0	6	0	6
3.3	0	6	0	6
3.4	0.015	6.5	0.015	6.5
3.5	0.015	6.5	0.015	6.5
3.6	0.015	7	0.015	7
3.7	0.03	7	0.03	7
3.8	0.03	7.5	0.03	7.5
3.9	0.03	7.5	0.03	7.5
4	0.045	7.5	0.045	7.5
4.1	0.045	8	0.045	8
4.2	0.045	8	0.045	8
4.3	0.045	8.5	0.045	8.5
4.4	0.045	8.5	0.045	8.5
4.5	0.045	8.5	0.045	8.5
4.6	0.045	9	0.045	9
4.7	0.045	9	0.045	9
4.8	0.06	9.5	0.06	9.5
4.9	0.06	9.5	0.06	9.5
5	0.06	10	0.06	10
5.1	0.09	10	0.09	10
5.2	0.105	10	0.105	10
5.3	0.135	10.5	0.135	10.5
5.4	0.165	10.5	0.165	10.5
5.5	0.195	11	0.195	11
5.6	0.21	11	0.21	11
5.7	0.24	11.5	0.24	11.5
5.8	0.255	11.5	0.255	11.5
5.9	0.27	12	0.27	12
6	0.27	12	0.27	12
6.1	0.27	12.5	0.27	12.5
6.2	0.255	12.5	0.255	12.5
6.3	0.255	13	0.255	13
6.4	0.24	13	0.24	13
6.5	0.225	13	0.225	13
6.6	0.21	13	0.21	13
6.7	0.21	13.5	0.21	13.5
6.8	0.195	13.5	0.195	13.5
6.9	0.195	14	0.195	14
7	0.195	14	0.195	14
7.1	0.225	14.5	0.225	14.5
7.2	0.24	14.5	0.24	14.5
7.3	0.285	15	0.285	15
7.4	0.33	15	0.33	15
7.5	0.42	15.5	0.42	15.5
7.6	0.495	15.5	0.495	15.5
7.7	0.615	15.5	0.615	15.5
7.8	0.69	16	0.69	16
7.9	0.765	16	0.765	16
8	0.78	16.5	0.78	16.5
8.1	0.78	16.5	0.78	16.5
8.2	0.75	17	0.75	17
8.3	0.735	17	0.735	17
8.4	0.675	17.5	0.675	17.5
8.5	0.63	17.5	0.63	17.5
