#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
8.6	0.57	17.5	0.57	17.5
8.7	0.51	18	0.51	18
8.8	0.45	18	0.45	18
8.9	0.42	18.5	0.42	18.5
9	0.39	18.5	0.39	18.5
9.1	0.375	18.5	0.375	18.5
9.2	0.375	19	0.375	19
9.3	0.405	19	0.405	19
9.4	0.45	19.5	0.45	19.5
9.5	0.54	19.5	0.54	19.5
9.6	0.645	20	0.645	20
9.7	0.795	20	0.795	20
9.8	0.99	20.5	0.99	20.5
9.9	1.185	20.5	1.185	20.5
10	1.395	20.5	1.395	20.5
10.1	1.56	21	1.56	21
10.2	1.635	21	1.635	21
10.3	1.62	21.5	1.62	21.5
10.4	1.575	21.5	1.575	21.5
10.5	1.47	22	1.47	22
10.6	1.35	22	1.35	22
10.7	1.2	22	1.2	22
10.8	1.08	22.5	1.08	22.5
10.9	0.93	22.5	0.93	22.5
11	0.81	23	0.81	23
11.1	0.69	23	0.69	23
11.2	0.63	23.5	0.63	23.5
11.3	0.585	23.5	0.585	23.5
11.4	0.585	23.5	0.585	23.5
11.5	0.6	24	0.6	24
11.6	0.69	24	0.69	24
11.7	0.795	24.5	0.795	24.5
11.8	0.975	24.5	0.975	24.5
11.9	1.215	25	1.215	25
12	1.515	25	1.515	25
12.1	1.83	25	1.83	25
12.2	2.235	25.5	2.235	25.5
12.3	2.52	26	2.52	26
12.4	2.775	26	2.775	26
12.5	2.835	26	2.835	26
12.6	2.805	26.5	2.805	26.5
12.7	2.655	26.5	2.655	26.5
12.8	2.46	27	2.46	27
12.9	2.205	27	2.205	27
13	1.92	27.5	1.92	27.5
13.1	1.665	27.5	1.665	27.5
13.2	1.44	27.5	1.44	27.5
13.3	1.215	28	1.215	28
13.4	1.08	28	1.08	28
13.499	0.945	28.5	0.945	28.5
13.599	0.9	28.5	0.9	28.5
13.699	0.9	29	0.9	29
13.8	0.975	29	0.975	29
13.899	1.095	29	1.095	29
13.999	1.305	29.5	1.305	29.5
14.099	1.575	29.5	1.575	29.5
14.199	1.92	29.5	1.92	29.5
14.299	2.43	30	2.43	30
14.399	2.925	30	2.925	30
14.499	3.435	30.5	3.435	30.5
14.599	3.915	30.5	3.915	30.5
14.7	4.23	31	4.23	31
14.799	4.395	31	4.395	31
14.9	4.38	31.5	4.38	31.5
14.999	4.2	31.5	4.2	31.5
15.099	3.885	32	3.885	32
15.199	3.495	32	3.495	32
15.299	3.135	32	3.135	32
15.399	2.655	32.5	2.655	32.5
15.499	2.295	32.5	2.295	32.5
15.6	1.935	32.5	1.935	32.5
15.699	1.71	33	1.71	33
15.799	1.515	33.5	1.515	33.5
15.899	1.41	33.5	1.41	33.5
15.999	1.41	33.5	1.41	33.5
16.099	1.515	34	1.515	34
16.199	1.695	34	1.695	34
16.299	1.995	34.5	1.995	34.5
16.399	2.43	34.5	2.43	34.5
16.499	2.94	35	2.94	35
16.599	3.555	35	3.555	35
16.699	4.35	35	4.35	35
16.799	5.085	35	5.085	35
16.899	5.805	35.5	5.805	35.5
16.999	6.27	36	6.27	36
17.099	6.555	36	6.555	36
17.199	6.615	36.5	6.615	36.5
17.299	6.435	36.5	6.435	36.5
17.399	6.105	36.5	6.105	36.5
17.499	5.61	37	5.61	37
17.599	5.07	37	5.07	37
17.699	4.425	37	4.425	37
17.799	3.885	37.5	3.885	37.5
17.899	3.375	38	3.375	38
17.999	2.94	38	2.94	38
18.099	2.655	38.5	2.655	38.5
18.199	2.49	38.5	2.49	38.5
18.299	2.415	38.5	2.415	38.5
18.399	2.52	39	2.52	39
18.499	2.79	39	2.79	39
18.599	3.195	39	3.195	39
18.699	3.735	39.5	3.735	39.5
18.799	4.56	40	4.56	40
18.899	5.46	40	5.46	40
18.999	6.465	40	6.465	40
19.099	7.56	40.5	7.56	40.5
19.199	8.49	40.5	8.49	40.5
19.299	9.375	41	9.375	41
19.399	10.005	41	10.005	41
19.499	10.305	41.5	10.305	41.5
19.599	10.32	41.5	10.32	41.5
19.699	10.05	42	10.05	42
19.799	9.6	42	9.6	42
19.899	8.91	42	8.91	42
19.999	8.175	42.5	8.175	42.5
20.099	7.32	42.5	7.32	42.5
20.199	6.615	43	6.615	43
20.299	5.97	43	5.97	43
20.399	5.415	43.5	5.415	43.5
20.499	5.055	43.5	5.055	43.5
20.601	4.845	43.5	4.845	43.5
20.699	4.875	44	4.875	44
20.799	5.115	44	5.115	44
20.899	5.655	44.5	5.655	44.5
20.999	6.435	44.5	6.435	44.5
21.099	7.425	45	7.425	45
21.199	7.59	44.5	7.59	44.5
21.299	7.575	45	7.575	45
21.399	7.59	45	7.59	45
21.499	7.575	44.5	7.575	44.5
21.599	7.59	44.5	7.59	44.5
21.699	7.575	44.5	7.575	44.5
21.799	7.575	45	7.575	45
21.899	7.575	45	7.575	45
21.999	7.605	45	7.605	45
22.099	7.605	45	7.605	45
22.199	7.59	45	7.59	45
22.299	7.605	45	7.605	45
22.399	7.605	45	7.605	45
22.499	7.605	44.5	7.605	44.5
22.599	7.62	45	7.62	45
22.7	7.635	45	7.635	45
22.799	7.62	44.5	7.62	44.5
22.899	7.635	44.5	7.635	44.5
23	7.635	45	7.635	45
23.1	7.605	44.5	7.605	44.5
23.2	7.605	45	7.605	45
23.3	7.605	44.5	7.605	44.5
23.4	7.605	45	7.605	45
23.5	7.605	45	7.605	45
23.6	7.605	44.5	7.605	44.5
23.7	7.605	45	7.605	45
23.8	7.605	45	7.605	45
23.9	7.62	45	7.62	45
24	7.605	45	7.605	45
24.1	7.62	45	7.62	45
24.2	7.62	45	7.62	45
24.3	7.62	45	7.62	45
24.4	7.62	45	7.62	45
24.5	7.62	45	7.62	45
24.6	7.62	45	7.62	45
24.7	7.62	45	7.62	45
24.8	7.605	45	7.605	45
24.9	7.605	45	7.605	45
25	7.605	45	7.605	45
25.1	7.62	45	7.62	45
25.2	7.62	45	7.62	45
25.3	7.635	45	7.635	45
25.4	7.635	45	7.635	45
25.5	7.65	45	7.65	45
