#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.03	0	-0.03	0
0.1	-0.015	0	-0.015	0
0.2	-0.03	0	-0.03	0
0.3	-0.03	0	-0.03	0
0.4	-0.03	0	-0.03	0
0.5	-0.015	0	-0.015	0
0.6	-0.03	0	-0.03	0
0.7	-0.03	0	-0.03	0
0.8	-0.03	0	-0.03	0
0.9	-0.03	0	-0.03	0
1	-0.03	0.5	-0.03	0.5
1.1	-0.015	0.5	-0.015	0.5
1.2	-0.03	1	-0.03	1
1.3	-0.015	1	-0.015	1
1.4	-0.03	1.5	-0.03	1.5
1.5	-0.03	1.5	-0.03	1.5
1.6	-0.015	2	-0.015	2
1.7	-0.015	2	-0.015	2
1.8	-0.03	2	-0.03	2
1.9	-0.015	2.5	-0.015	2.5
2	-0.03	2.5	-0.03	2.5
2.1	-0.015	3	-0.015	3
2.2	-0.03	3	-0.03	3
2.3	-0.03	3	-0.03	3
2.4	-0.03	3.5	-0.03	3.5
2.5	-0.03	3.5	-0.03	3.5
2.6	-0.015	4	-0.015	4
2.7	-0.03	4	-0.03	4
2.8	-0.015	4.5	-0.015	4.5
2.9	-0.03	4.5	-0.03	4.5
3	-0.03	4.5	-0.03	4.5
3.1	-0.03	5	-0.03	5
3.2	-0.03	5	-0.03	5
3.3	-0.03	5.5	-0.03	5.5
3.4	-0.015	5.5	-0.015	5.5
3.5	-0.015	6	-0.015	6
3.6	-0.015	6	-0.015	6
3.7	0	6.5	0	6.5
3.8	0	6.5	0	6.5
3.9	0	6.5	0	6.5
4	0	7	0	7
4.1	0	7	0	7
4.2	0.015	7.5	0.015	7.5
4.3	0	7.5	0	7.5
4.4	0.015	7.5	0.015	7.5
4.5	0	8	0	8
4.6	0.015	8.5	0.015	8.5
4.7	0	8.5	0	8.5
4.8	0.015	8.5	0.015	8.5
4.9	0.015	9	0.015	9
5	0.015	9	0.015	9
5.1	0	9.5	0	9.5
5.2	0.015	9.5	0.015	9.5
5.3	0	9.5	0	9.5
5.4	0.015	10	0.015	10
5.5	0.03	10	0.03	10
5.6	0.06	10.5	0.06	10.5
5.7	0.06	10.5	0.06	10.5
5.8	0.09	10.5	0.09	10.5
5.9	0.105	11	0.105	11
6	0.135	11.5	0.135	11.5
6.1	0.15	11.5	0.15	11.5
6.2	0.165	11.5	0.165	11.5
6.3	0.165	12	0.165	12
6.4	0.165	12	0.165	12
6.5	0.165	12.5	0.165	12.5
6.6	0.165	12.5	0.165	12.5
6.7	0.15	13	0.15	13
6.8	0.15	13	0.15	13
6.9	0.135	13	0.135	13
7	0.12	13.5	0.12	13.5
7.1	0.105	13.5	0.105	13.5
7.2	0.105	14	0.105	14
7.3	0.105	14	0.105	14
7.4	0.09	14.5	0.09	14.5
7.5	0.105	14.5	0.105	14.5
7.6	0.12	15	0.12	15
7.7	0.15	15	0.15	15
7.8	0.18	15	0.18	15
7.9	0.24	15.5	0.24	15.5
8	0.315	15.5	0.315	15.5
8.1	0.39	16	0.39	16
8.2	0.465	16	0.465	16
8.3	0.51	16	0.51	16
8.4	0.525	16.5	0.525	16.5
8.5	0.51	16.5	0.51	16.5
8.6	0.495	17	0.495	17
8.7	0.48	17	0.48	17
8.8	0.45	17.5	0.45	17.5
8.9	0.405	17.5	0.405	17.5
9	0.36	17.5	0.36	17.5
9.1	0.315	18	0.315	18
9.2	0.27	18	0.27	18
9.3	0.24	18.5	0.24	18.5
9.4	0.21	18.5	0.21	18.5
9.5	0.195	19	0.195	19
9.6	0.18	19	0.18	19
9.7	0.195	19.5	0.195	19.5
9.8	0.225	19.5	0.225	19.5
9.9	0.285	19.5	0.285	19.5
10	0.36	20	0.36	20
10.1	0.48	20	0.48	20
10.2	0.615	20	0.615	20
10.3	0.81	20.5	0.81	20.5
10.4	0.96	20.5	0.96	20.5
10.5	1.095	21	1.095	21
10.6	1.125	21	1.125	21
10.7	1.125	21.5	1.125	21.5
10.8	1.08	21.5	1.08	21.5
10.9	1.02	22	1.02	22
11	0.915	22	0.915	22
11.1	0.825	22	0.825	22
11.2	0.72	22.5	0.72	22.5
11.3	0.615	23	0.615	23
11.4	0.525	23	0.525	23
11.5	0.45	23	0.45	23
11.6	0.375	23.5	0.375	23.5
11.7	0.33	23.5	0.33	23.5
11.8	0.3	24	0.3	24
11.9	0.315	24	0.315	24
12	0.345	24.5	0.345	24.5
12.1	0.42	24.5	0.42	24.5
12.2	0.54	25	0.54	25
12.3	0.705	25	0.705	25
12.4	0.945	25	0.945	25
12.5	1.2	25.5	1.2	25.5
12.6	1.53	25.5	1.53	25.5
12.7	1.77	26	1.77	26
12.8	1.935	26	1.935	26
12.899	1.995	26	1.995	26
12.999	1.98	26.5	1.98	26.5
13.099	1.875	27	1.875	27
13.199	1.725	27	1.725	27
13.299	1.545	27	1.545	27
13.399	1.35	27.5	1.35	27.5
13.499	1.155	27.5	1.155	27.5
13.599	0.99	28	0.99	28
13.699	0.81	28	0.81	28
13.8	0.69	28	0.69	28
13.899	0.585	28.5	0.585	28.5
13.999	0.51	28.5	0.51	28.5
14.099	0.48	28.5	0.48	28.5
14.199	0.51	29	0.51	29
14.299	0.57	29	0.57	29
14.399	0.705	29.5	0.705	29.5
14.499	0.9	29.5	0.9	29.5
14.599	1.155	30	1.155	30
14.699	1.485	30	1.485	30
14.799	1.935	30.5	1.935	30.5
14.899	2.34	30.5	2.34	30.5
14.999	2.76	31	2.76	31
15.099	3	31	3	31
15.199	3.135	31	3.135	31
15.299	3.135	31.5	3.135	31.5
15.399	3.015	31.5	3.015	31.5
15.499	2.79	31.5	2.79	31.5
15.599	2.52	32	2.52	32
15.699	2.235	32.5	2.235	32.5
15.799	1.92	32.5	1.92	32.5
15.899	1.62	32.5	1.62	32.5
15.999	1.365	33	1.365	33
16.099	1.14	33	1.14	33
16.199	0.975	33.5	0.975	33.5
16.299	0.855	33.5	0.855	33.5
16.399	0.795	33.5	0.795	33.5
16.499	0.81	34	0.81	34
16.599	0.915	34.5	0.915	34.5
16.699	1.11	34.5	1.11	34.5
16.799	1.395	34.5	1.395	34.5
16.899	1.845	35	1.845	35
16.999	2.325	35	2.325	35
17.099	2.955	35.5	2.955	35.5
17.199	3.51	35.5	3.51	35.5
17.299	4.02	36	4.02	36
17.399	4.455	36	4.455	36
17.499	4.71	36	4.71	36
17.599	4.8	36.5	4.8	36.5
17.699	4.71	36.5	4.71	36.5
17.799	4.47	37	4.47	37
17.899	4.125	37	4.125	37
17.999	3.735	37.5	3.735	37.5
18.099	3.345	37.5	3.345	37.5
18.199	2.85	37.5	2.85	37.5
18.3	2.46	38	2.46	38
18.399	2.1	38	2.1	38
18.499	1.8	38.5	1.8	38.5
18.599	1.59	38.5	1.59	38.5
18.699	1.485	39	1.485	39
18.799	1.485	39	1.485	39
18.899	1.605	39	1.605	39
19	1.875	39.5	1.875	39.5
19.1	2.265	39.5	2.265	39.5
19.2	2.76	40	2.76	40
19.3	3.54	40	3.54	40
19.4	4.335	40.5	4.335	40.5
19.5	5.265	40.5	5.265	40.5
19.6	6.06	40.5	6.06	40.5
19.7	6.75	41	6.75	41
19.8	7.35	41	7.35	41
19.9	7.665	41.5	7.665	41.5
20	7.77	41.5	7.77	41.5
20.1	7.635	42	7.635	42
20.2	7.335	42	7.335	42
20.3	6.81	42.5	6.81	42.5
20.4	6.27	42.5	6.27	42.5
20.5	5.7	42.5	5.7	42.5
20.6	5.07	43	5.07	43
20.7	4.5	43	4.5	43
20.8	3.96	43.5	3.96	43.5
20.9	3.6	43.5	3.6	43.5
21	3.345	44	3.345	44
21.1	3.225	44	3.225	44
21.2	3.33	44	3.33	44
21.3	3.6	44.5	3.6	44.5
21.4	4.185	44.5	4.185	44.5
21.5	4.65	45	4.65	45
21.599	4.665	44.5	4.665	44.5
21.7	4.65	44.5	4.65	44.5
21.8	4.665	45	4.665	45
21.9	4.65	45	4.65	45
22	4.665	45	4.665	45
22.1	4.665	45	4.665	45
22.2	4.68	45	4.68	45
22.3	4.68	45	4.68	45
22.4	4.68	45	4.68	45
22.5	4.68	44.5	4.68	44.5
22.6	4.695	44.5	4.695	44.5
22.7	4.68	45	4.68	45
22.8	4.695	45	4.695	45
22.9	4.68	44.5	4.68	44.5
