#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
8.6	1.32	16.5	1.32	16.5
8.7	1.32	16.5	1.32	16.5
8.8	1.26	16.5	1.26	16.5
8.9	1.215	17	1.215	17
9	1.155	17	1.155	17
9.1	1.095	17.5	1.095	17.5
9.2	1.035	17.5	1.035	17.5
9.3	0.99	18	0.99	18
9.4	0.96	18	0.96	18
9.5	0.945	18.5	0.945	18.5
9.6	0.93	18.5	0.93	18.5
9.7	0.96	18.5	0.96	18.5
9.8	1.005	19	1.005	19
9.9	1.095	19	1.095	19
10	1.185	19.5	1.185	19.5
10.1	1.35	19.5	1.35	19.5
10.2	1.515	19.5	1.515	19.5
10.3	1.71	20	1.71	20
10.4	1.965	20	1.965	20
10.5	2.22	20.5	2.22	20.5
10.6	2.475	20.5	2.475	20.5
10.7	2.625	21	2.625	21
10.8	2.655	21	2.655	21
10.9	2.595	21	2.595	21
11	2.475	21.5	2.475	21.5
11.1	2.31	21.5	2.31	21.5
11.2	2.115	22	2.115	22
11.3	1.935	22	1.935	22
11.4	1.785	22.5	1.785	22.5
11.5	1.65	22.5	1.65	22.5
11.6	1.56	23	1.56	23
11.7	1.5	23	1.5	23
11.8	1.485	23.5	1.485	23.5
11.901	1.515	23.5	1.515	23.5
12	1.59	24	1.59	24
12.1	1.695	24	1.695	24
12.2	1.875	24	1.875	24
12.3	2.1	24.5	2.1	24.5
12.4	2.37	24.5	2.37	24.5
12.5	2.745	25	2.745	25
12.6	3.12	25	3.12	25
12.7	3.51	25	3.51	25
12.8	3.975	25.5	3.975	25.5
12.9	4.26	25.5	4.26	25.5
13	4.455	26	4.455	26
13.1	4.41	26	4.41	26
13.2	4.275	26.5	4.275	26.5
13.3	3.975	26.5	3.975	26.5
13.4	3.66	27	3.66	27
13.5	3.315	27	3.315	27
13.6	2.985	27	2.985	27
13.7	2.7	27.5	2.7	27.5
13.8	2.475	27.5	2.475	27.5
13.9	2.34	28	2.34	28
14	2.28	28	2.28	28
14.1	2.265	28	2.265	28
14.2	2.325	28.5	2.325	28.5
14.3	2.445	28.5	2.445	28.5
14.4	2.7	29	2.7	29
14.5	2.97	29	2.97	29
14.6	3.39	29.5	3.39	29.5
14.7	3.795	29.5	3.795	29.5
14.8	4.26	30	4.26	30
14.9	4.92	30	4.92	30
15	5.535	30	5.535	30
15.1	6.195	30.5	6.195	30.5
15.2	6.63	30.5	6.63	30.5
15.3	6.81	30.5	6.81	30.5
15.4	6.78	31	6.78	31
15.5	6.54	31.5	6.54	31.5
15.6	6.15	31.5	6.15	31.5
15.7	5.595	32	5.595	32
15.8	5.085	32	5.085	32
15.9	4.545	32	4.545	32
16	4.11	32.5	4.11	32.5
16.1	3.795	32.5	3.795	32.5
16.2	3.525	32.5	3.525	32.5
16.3	3.405	33	3.405	33
16.4	3.39	33.5	3.39	33.5
16.5	3.495	33.5	3.495	33.5
16.6	3.69	33.5	3.69	33.5
16.7	4.05	34	4.05	34
16.8	4.455	34	4.455	34
16.9	5.01	34	5.01	34
17	5.73	34.5	5.73	34.5
17.1	6.495	35	6.495	35
17.2	7.305	35	7.305	35
17.3	8.265	35	8.265	35
17.4	9	35.5	9	35.5
17.5	9.615	35.5	9.615	35.5
17.6	9.885	36	9.885	36
17.7	9.945	36	9.945	36
17.8	9.66	36.5	9.66	36.5
17.9	9.18	36.5	9.18	36.5
18	8.535	36.5	8.535	36.5
18.1	7.83	37	7.83	37
18.2	7.2	37	7.2	37
18.3	6.495	37.5	6.495	37.5
18.4	5.97	37.5	5.97	37.5
18.5	5.595	37.5	5.595	37.5
18.6	5.355	38	5.355	38
18.7	5.295	38	5.295	38
18.8	5.4	38.5	5.4	38.5
18.9	5.685	38.5	5.685	38.5
19	6.09	39	6.09	39
19.099	6.765	39	6.765	39
19.2	7.5	39.5	7.5	39.5
19.3	8.385	39.5	8.385	39.5
19.399	9.555	40	9.555	40
19.499	10.695	40	10.695	40
19.599	10.98	40	10.98	40
19.699	11.07	40.5	11.07	40.5
19.799	11.07	40.5	11.07	40.5
19.899	11.115	41	11.115	41
19.999	11.085	41	11.085	41
20.099	11.115	41	11.115	41
20.199	11.07	41.5	11.07	41.5
20.299	11.085	42	11.085	42
20.399	11.01	42	11.01	42
20.499	10.98	42	10.98	42
20.599	10.815	42.5	10.815	42.5
20.699	10.095	42.5	10.095	42.5
20.799	9.54	43	9.54	43
20.899	9.12	43	9.12	43
20.999	8.955	43.5	8.955	43.5
21.099	9	43.5	9	43.5
21.199	9.375	43.5	9.375	43.5
21.299	9.885	44	9.885	44
21.399	10.635	44	10.635	44
21.499	10.98	44	10.98	44
21.599	11.04	44.5	11.04	44.5
21.699	11.1	44.5	11.1	44.5
21.799	11.1	44.5	11.1	44.5
21.899	11.115	45	11.115	45
21.999	11.1	45	11.1	45
22.099	11.115	45	11.115	45
22.199	11.115	45	11.115	45
22.299	11.1	44.5	11.1	44.5
22.399	11.1	45	11.1	45
22.499	11.1	44.5	11.1	44.5
22.599	11.1	45	11.1	45
22.699	11.1	44.5	11.1	44.5
22.799	11.1	45	11.1	45
22.899	11.085	44.5	11.085	44.5
22.999	11.115	45	11.115	45
23.099	11.1	45	11.1	45
23.2	11.115	45	11.115	45
23.299	11.085	45	11.085	45
23.4	11.1	45	11.1	45
23.5	11.1	44.5	11.1	44.5
23.6	11.115	44.5	11.115	44.5
23.7	11.1	45	11.1	45
23.8	11.13	45	11.13	45
23.9	11.1	45	11.1	45
24	11.13	45	11.13	45
24.1	11.1	45	11.1	45
24.2	11.13	44.5	11.13	44.5
24.3	11.1	45	11.1	45
24.4	11.115	45	11.115	45
24.5	11.1	45	11.1	45
24.6	11.115	45	11.115	45
24.7	11.1	45	11.1	45
24.8	11.13	45	11.13	45
24.9	11.1	45	11.1	45
25	11.13	44.5	11.13	44.5
25.1	11.1	44.5	11.1	44.5
25.2	11.13	45	11.13	45
25.3	11.1	45	11.1	45
25.4	11.13	45	11.13	45
25.5	11.1	45	11.1	45
25.6	11.115	45	11.115	45
25.7	11.1	45	11.1	45
25.8	11.115	44.5	11.115	44.5
25.9	11.1	45	11.1	45
26	11.115	44.5	11.115	44.5
26.1	11.1	45	11.1	45
26.201	11.13	45	11.13	45
26.3	11.1	44.5	11.1	44.5
26.4	11.115	45	11.115	45
26.5	11.1	45	11.1	45
26.6	11.1	45	11.1	45
26.7	11.1	45	11.1	45
26.8	11.085	45	11.085	45
26.9	11.1	44.5	11.1	44.5
27	11.1	44.5	11.1	44.5
27.1	11.1	45	11.1	45
27.2	11.1	45	11.1	45
27.3	11.115	45	11.115	45
27.4	11.1	44.5	11.1	44.5
27.5	11.1	45	11.1	45
27.6	11.085	44.5	11.085	44.5
27.7	11.1	44.5	11.1	44.5
27.8	11.1	45	11.1	45
27.9	11.115	44.5	11.115	44.5
28	11.1	44.5	11.1	44.5
28.1	11.13	45	11.13	45
28.2	11.1	45	11.1	45
28.3	11.115	45	11.115	45
28.4	11.1	45	11.1	45
28.5	-0.03	0	-0.03	0
28.6	-0.03	0	-0.03	0
28.7	-0.03	0	-0.03	0
28.8	-0.03	0	-0.03	0
28.9	-0.03	0	-0.03	0
29	-0.03	0	-0.03	0
29.1	-0.03	0	-0.03	0
29.2	-0.015	0	-0.015	0
29.3	-0.03	0	-0.03	0
29.4	-0.03	0	-0.03	0
29.5	-0.03	0	-0.03	0
29.6	-0.03	0	-0.03	0
29.7	-0.03	0	-0.03	0
29.8	-0.03	0	-0.03	0
29.899	-0.03	0	-0.03	0
30	-0.03	0	-0.03	0
30.1	-0.03	0	-0.03	0
30.2	-0.03	0	-0.03	0
30.3	-0.045	0	-0.045	0
30.4	-0.03	0	-0.03	0
30.5	-0.03	0	-0.03	0
30.6	-0.03	0	-0.03	0
30.7	-0.03	0	-0.03	0
30.8	-0.03	0	-0.03	0
30.901	-0.03	0	-0.03	0
31	-0.015	0	-0.015	0
31.1	-0.03	0	-0.03	0
31.2	-0.03	0	-0.03	0
31.3	-0.03	0	-0.03	0
31.4	-0.03	0	-0.03	0
31.5	-0.03	0	-0.03	0
31.6	-0.015	0	-0.015	0
31.7	-0.03	0	-0.03	0.0
