#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.03	0	-0.03	0
0.099	-0.03	0	-0.03	0
0.2	-0.03	0	-0.03	0
0.299	-0.03	0	-0.03	0
0.4	-0.03	0	-0.03	0
0.5	-0.03	0	-0.03	0
0.6	-0.03	0	-0.03	0
0.7	-0.03	0	-0.03	0
0.8	-0.03	0	-0.03	0
0.9	-0.015	0	-0.015	0
1	-0.03	0	-0.03	0
1.1	-0.015	0	-0.015	0
1.2	-0.03	0.5	-0.03	0.5
1.3	-0.015	0.5	-0.015	0.5
1.4	-0.015	0.5	-0.015	0.5
1.5	-0.03	1	-0.03	1
1.601	-0.03	1	-0.03	1
1.7	-0.03	1	-0.03	1
1.8	-0.03	1.5	-0.03	1.5
1.899	-0.03	2	-0.03	2
2	-0.03	2	-0.03	2
2.1	-0.03	2.5	-0.03	2.5
2.2	-0.03	2.5	-0.03	2.5
2.3	-0.03	2.5	-0.03	2.5
2.4	-0.015	3	-0.015	3
2.5	-0.03	3	-0.03	3
2.6	-0.015	3.5	-0.015	3.5
2.7	-0.03	3.5	-0.03	3.5
2.8	-0.015	4	-0.015	4
2.9	-0.015	4	-0.015	4
3	-0.015	4	-0.015	4
3.1	-0.015	4.5	-0.015	4.5
3.2	0	4.5	0	4.5
3.3	0	5	0	5
3.4	0	5	0	5
3.5	0	5.5	0	5.5
3.6	0.015	5.5	0.015	5.5
3.7	0.015	6	0.015	6
3.8	0.045	6	0.045	6
3.9	0.03	6	0.03	6
4	0.075	6.5	0.075	6.5
4.1	0.06	6.5	0.06	6.5
4.2	0.09	6.5	0.09	6.5
4.3	0.09	7	0.09	7
4.4	0.105	7.5	0.105	7.5
4.5	0.12	7.5	0.12	7.5
4.6	0.12	7.5	0.12	7.5
4.7	0.135	8	0.135	8
4.8	0.15	8	0.15	8
4.9	0.15	8.5	0.15	8.5
5	0.165	8.5	0.165	8.5
5.1	0.165	8.5	0.165	8.5
5.2	0.18	9	0.18	9
5.3	0.18	9	0.18	9
5.401	0.195	9.5	0.195	9.5
5.5	0.21	9.5	0.21	9.5
5.6	0.225	10	0.225	10
5.7	0.255	10	0.255	10
5.8	0.285	10.5	0.285	10.5
5.9	0.33	10.5	0.33	10.5
6	0.375	10.5	0.375	10.5
6.1	0.42	11	0.42	11
6.2	0.465	11	0.465	11
6.3	0.48	11.5	0.48	11.5
6.4	0.51	11.5	0.51	11.5
6.5	0.51	11.5	0.51	11.5
6.6	0.51	12	0.51	12
6.7	0.51	12	0.51	12
6.8	0.51	12.5	0.51	12.5
6.9	0.51	12.5	0.51	12.5
7	0.495	13	0.495	13
7.1	0.495	13	0.495	13
7.2	0.495	13.5	0.495	13.5
7.3	0.495	13.5	0.495	13.5
7.4	0.495	13.5	0.495	13.5
7.5	0.54	14	0.54	14
7.6	0.54	14	0.54	14
7.7	0.6	14.5	0.6	14.5
7.8	0.645	14.5	0.645	14.5
7.9	0.705	15	0.705	15
8	0.795	15	0.795	15
8.1	0.885	15.5	0.885	15.5
8.2	0.99	15.5	0.99	15.5
8.301	1.14	15.5	1.14	15.5
8.4	1.23	16	1.23	16
8.5	1.32	16	1.32	16
