#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.03	0	-0.03	0
0.099	-0.03	0	-0.03	0
0.199	-0.03	0	-0.03	0
0.299	-0.03	0	-0.03	0
0.399	-0.03	0	-0.03	0
0.499	-0.03	0	-0.03	0
0.599	-0.015	0	-0.015	0
0.699	-0.03	0	-0.03	0
0.799	-0.03	0.5	-0.03	0.5
0.899	-0.03	0.5	-0.03	0.5
0.999	-0.03	1	-0.03	1
1.099	-0.045	1	-0.045	1
1.199	-0.03	1.5	-0.03	1.5
1.299	-0.045	1.5	-0.045	1.5
1.399	-0.03	2	-0.03	2
1.499	-0.045	2	-0.045	2
1.599	-0.03	2	-0.03	2
1.699	-0.045	2.5	-0.045	2.5
1.799	-0.03	2.5	-0.03	2.5
1.899	-0.03	3	-0.03	3
1.999	-0.03	3	-0.03	3
2.099	-0.03	3.5	-0.03	3.5
2.2	-0.015	3.5	-0.015	3.5
2.299	-0.03	3.5	-0.03	3.5
2.399	-0.015	4	-0.015	4
2.499	-0.03	4	-0.03	4
2.599	-0.015	4.5	-0.015	4.5
2.699	0	4.5	0	4.5
2.799	0	4.5	0	4.5
2.899	0	5	0	5
3	0	5	0	5
3.099	0	5.5	0	5.5
3.2	0.015	5.5	0.015	5.5
3.3	0.015	6	0.015	6
3.4	0.015	6	0.015	6
3.5	0.03	6.5	0.03	6.5
3.6	0.045	6.5	0.045	6.5
3.7	0.045	7	0.045	7
3.8	0.06	7	0.06	7
3.9	0.075	7	0.075	7
4	0.075	7.5	0.075	7.5
4.1	0.09	7.5	0.09	7.5
4.2	0.075	7.5	0.075	7.5
4.3	0.09	8	0.09	8
4.4	0.09	8	0.09	8
4.5	0.09	8.5	0.09	8.5
4.6	0.09	8.5	0.09	8.5
4.7	0.105	9	0.105	9
4.8	0.105	9	0.105	9
4.9	0.135	9.5	0.135	9.5
5	0.12	9.5	0.12	9.5
5.1	0.15	10	0.15	10
5.2	0.165	10	0.165	10
5.3	0.195	10.5	0.195	10.5
5.4	0.21	10.5	0.21	10.5
5.5	0.255	10.5	0.255	10.5
5.6	0.3	11	0.3	11
5.7	0.345	11	0.345	11
5.8	0.36	11	0.36	11
5.9	0.39	11.5	0.39	11.5
6	0.39	11.5	0.39	11.5
6.1	0.405	12	0.405	12
6.2	0.405	12	0.405	12
6.3	0.405	12.5	0.405	12.5
6.4	0.39	12.5	0.39	12.5
6.5	0.39	12.5	0.39	12.5
6.6	0.36	13	0.36	13
6.7	0.36	13.5	0.36	13.5
6.8	0.345	13.5	0.345	13.5
6.9	0.345	13.5	0.345	13.5
7	0.345	14	0.345	14
7.1	0.36	14	0.36	14
7.2	0.39	14	0.39	14
7.3	0.42	14.5	0.42	14.5
7.4	0.48	14.5	0.48	14.5
7.5	0.555	15	0.555	15
7.6	0.63	15	0.63	15
7.7	0.75	15.5	0.75	15.5
7.8	0.87	15.5	0.87	15.5
7.9	0.99	16	0.99	16
8	1.095	16	1.095	16
8.1	1.125	16	1.125	16
8.2	1.125	16.5	1.125	16.5
8.3	1.11	16.5	1.11	16.5
8.4	1.05	17	1.05	17
8.5	0.99	17	0.99	17
8.6	0.915	17.5	0.915	17.5
